document,summary,id,model_name,model_id,response,inputTokens,outputTokens,totalTokens,n_prompts,temperature,topP,question_column,answer_column,document_column,cacheReadInputTokens,cacheWriteInputTokens
"The Common dolphin was discovered on the high water line at Gyllingvase near Falmouth early on Wednesday.
Members of British Divers Marine Life Rescue covered the animal with wet towels and seaweed to keep it comfortable.
A vet who was called to the scene assessed that it was too sick to be returned to the sea.
There have been 41 strandings of Common dolphins in Cornwall in the past year according to figures from the Marine Strandings Network.
Almost 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the six years up to December 2011, according to the Zoological Society of London (ZSL).
Overall it recorded a fall in the number of strandings but said that some still were not being reported.
The Society has launched a campaign to encourage the public to tell them when they find beached mammals.","A dolphin found stranded on a Cornish beach has been put down, say marine rescuers.",19811758,Claude 3 Haiku,anthropic.claude-3-haiku-20240307-v1:0,"Here is a summary of the key points:

- A common dolphin was discovered on the high water line near Falmouth, Cornwall on Wednesday morning.
- Members of the British Divers Marine Life Rescue covered the sick dolphin with wet towels and seaweed to keep it comfortable.
- A vet assessed the dolphin and determined it was too ill to be returned to the sea.
- There have been 41 strandings of common dolphins in Cornwall over the past year, according to the Marine Strandings Network.
- Overall, nearly 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the 6 years up to December 2011, according to the Zoological Society of London.
- While the number of strandings has fallen, the Zoological Society says some strandings still go unreported, and has launched a campaign to encourage the public to report any beached marine mammals.",206,208,414,5,0.5,0.5,Question,Correct Answers,document,,
"The Common dolphin was discovered on the high water line at Gyllingvase near Falmouth early on Wednesday.
Members of British Divers Marine Life Rescue covered the animal with wet towels and seaweed to keep it comfortable.
A vet who was called to the scene assessed that it was too sick to be returned to the sea.
There have been 41 strandings of Common dolphins in Cornwall in the past year according to figures from the Marine Strandings Network.
Almost 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the six years up to December 2011, according to the Zoological Society of London (ZSL).
Overall it recorded a fall in the number of strandings but said that some still were not being reported.
The Society has launched a campaign to encourage the public to tell them when they find beached mammals.","A dolphin found stranded on a Cornish beach has been put down, say marine rescuers.",19811758,Claude 3.7 Sonnet,anthropic.claude-3-7-sonnet-20250219-v1:0,"A sick Common dolphin was found stranded at Gyllingvase near Falmouth on Wednesday. Despite rescue efforts by British Divers Marine Life Rescue, a vet determined it was too ill to return to sea. Cornwall has seen 41 Common dolphin strandings in the past year, while nearly 3,500 cetaceans were stranded across UK coastlines between 2005-2011. The Zoological Society of London reports declining stranding numbers overall but is campaigning for better public reporting of these incidents.",206,118,324,5,0.5,0.5,Question,Correct Answers,document,0.0,0.0
"The Common dolphin was discovered on the high water line at Gyllingvase near Falmouth early on Wednesday.
Members of British Divers Marine Life Rescue covered the animal with wet towels and seaweed to keep it comfortable.
A vet who was called to the scene assessed that it was too sick to be returned to the sea.
There have been 41 strandings of Common dolphins in Cornwall in the past year according to figures from the Marine Strandings Network.
Almost 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the six years up to December 2011, according to the Zoological Society of London (ZSL).
Overall it recorded a fall in the number of strandings but said that some still were not being reported.
The Society has launched a campaign to encourage the public to tell them when they find beached mammals.","A dolphin found stranded on a Cornish beach has been put down, say marine rescuers.",19811758,Claude 3 Sonnet,anthropic.claude-3-sonnet-20240229-v1:0,"Here is a summary of the key points:

- A Common dolphin was discovered stranded on the beach at Gyllingvase near Falmouth, Cornwall on Wednesday morning. 
- Rescuers covered it with wet towels and seaweed to keep it comfortable.
- A vet determined the dolphin was too sick to be returned to the sea.
- There have been 41 strandings of Common dolphins in Cornwall in the past year, according to the Marine Strandings Network.
- The Zoological Society of London recorded nearly 3,500 whale, dolphin and porpoise strandings on UK coasts from 2006-2011, though some go unreported.
- The Society has launched a campaign encouraging the public to report any beached marine mammals they find.",206,177,383,5,0.5,0.5,Question,Correct Answers,document,,
"The Common dolphin was discovered on the high water line at Gyllingvase near Falmouth early on Wednesday.
Members of British Divers Marine Life Rescue covered the animal with wet towels and seaweed to keep it comfortable.
A vet who was called to the scene assessed that it was too sick to be returned to the sea.
There have been 41 strandings of Common dolphins in Cornwall in the past year according to figures from the Marine Strandings Network.
Almost 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the six years up to December 2011, according to the Zoological Society of London (ZSL).
Overall it recorded a fall in the number of strandings but said that some still were not being reported.
The Society has launched a campaign to encourage the public to tell them when they find beached mammals.","A dolphin found stranded on a Cornish beach has been put down, say marine rescuers.",19811758,Llama 3 8B Instruct,meta.llama3-8b-instruct-v1:0,"

A Common dolphin was found stranded on the beach at Gyllingvase near Falmouth, Cornwall, on Wednesday. The animal was too sick to be returned to the sea and was taken care of by British Divers Marine Life Rescue. This is the 41st Common dolphin stranding in Cornwall in the past year. According to the Marine Strandings Network, there have been over 3,500 whale, dolphin, and porpoise strandings on UK coastlines in the past six years. The Zoological Society of London has launched a campaign to encourage the public to report any beached mammals, as some strandings may not be being reported.",194,135,329,5,0.5,0.5,Question,Correct Answers,document,,
"The Common dolphin was discovered on the high water line at Gyllingvase near Falmouth early on Wednesday.
Members of British Divers Marine Life Rescue covered the animal with wet towels and seaweed to keep it comfortable.
A vet who was called to the scene assessed that it was too sick to be returned to the sea.
There have been 41 strandings of Common dolphins in Cornwall in the past year according to figures from the Marine Strandings Network.
Almost 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the six years up to December 2011, according to the Zoological Society of London (ZSL).
Overall it recorded a fall in the number of strandings but said that some still were not being reported.
The Society has launched a campaign to encourage the public to tell them when they find beached mammals.","A dolphin found stranded on a Cornish beach has been put down, say marine rescuers.",19811758,Llama 3 70B Instruct,meta.llama3-70b-instruct-v1:0,"

Here's a summary:

A Common dolphin was found stranded on the beach at Gyllingvase near Falmouth on Wednesday. Rescuers attempted to keep it comfortable, but a vet determined it was too sick to be returned to the sea. This is the 41st Common dolphin stranding in Cornwall in the past year. According to the Zoological Society of London, there were almost 3,500 whale, dolphin, and porpoise strandings on UK coastlines between 2005 and 2011, although the number has decreased in recent years. The Society is now launching a campaign to encourage the public to report any beached mammals they find.",194,138,332,5,0.5,0.5,Question,Correct Answers,document,,
"The Common dolphin was discovered on the high water line at Gyllingvase near Falmouth early on Wednesday.
Members of British Divers Marine Life Rescue covered the animal with wet towels and seaweed to keep it comfortable.
A vet who was called to the scene assessed that it was too sick to be returned to the sea.
There have been 41 strandings of Common dolphins in Cornwall in the past year according to figures from the Marine Strandings Network.
Almost 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the six years up to December 2011, according to the Zoological Society of London (ZSL).
Overall it recorded a fall in the number of strandings but said that some still were not being reported.
The Society has launched a campaign to encourage the public to tell them when they find beached mammals.","A dolphin found stranded on a Cornish beach has been put down, say marine rescuers.",19811758,Nova Lite,amazon.nova-lite-v1:0,"A Common dolphin was found stranded at Gyllingvase near Falmouth. British Divers Marine Life Rescue provided care, but a vet determined the dolphin was too ill to survive in the sea. Cornwall has seen 41 Common dolphin strandings in the past year, and over 3,500 whales, dolphins, and porpoises have been stranded on UK coastlines up to December 2011. Although the number of strandings has decreased, underreporting remains an issue. The Zoological Society of London has launched a campaign to encourage public reporting of beached mammals.",181,120,301,5,0.5,0.5,Question,Correct Answers,document,,
"The Common dolphin was discovered on the high water line at Gyllingvase near Falmouth early on Wednesday.
Members of British Divers Marine Life Rescue covered the animal with wet towels and seaweed to keep it comfortable.
A vet who was called to the scene assessed that it was too sick to be returned to the sea.
There have been 41 strandings of Common dolphins in Cornwall in the past year according to figures from the Marine Strandings Network.
Almost 3,500 whales, dolphins and porpoises have been stranded on UK coastlines over the six years up to December 2011, according to the Zoological Society of London (ZSL).
Overall it recorded a fall in the number of strandings but said that some still were not being reported.
The Society has launched a campaign to encourage the public to tell them when they find beached mammals.","A dolphin found stranded on a Cornish beach has been put down, say marine rescuers.",19811758,Nova Pro,amazon.nova-pro-v1:0,"A Common dolphin was found stranded at Gyllingvase near Falmouth. Rescuers from British Divers Marine Life Rescue attempted to keep it comfortable, but a vet determined it was too sick to return to the sea. In the past year, there have been 41 Common dolphin strandings in Cornwall. The Zoological Society of London reports nearly 3,500 whales, dolphins, and porpoises have stranded on UK coastlines over six years, though strandings have decreased. The Society urges the public to report stranded marine mammals.",181,111,292,5,0.5,0.5,Question,Correct Answers,document,,
"Jaroslaw Kaczynski, the identical twin brother of the late president and leader of the country's main opposition party, Law and Justice, is boycotting the official memorial events.
His supporters are also planning to gather outside the presidential palace to remember the victims and vent their anger against the Russians and the government for their handling of the crash investigation.
For a brief time the tragedy united the country in shock, at first, and then mourning for the victims.
Thousands came from all over the country to place flowers and candles in front of the presidential palace. They did so even if they opposed Lech Kaczynski's policies.
It was the nation's worst disaster since World War Two. Apart from the president and his wife, Maria, the crash claimed the lives of the commanders of the armed forces, the heads of the National Bank and Olympic Committee, and politicians from all parties.
The location of the disaster was hugely symbolic too. The delegation was on its way to attend a 70th anniversary ceremony of the Katyn massacre, one of Poland's most painful wartime events in which more than 20,000 Polish officers, the country's elite, were murdered on Stalin's orders.
It is perhaps not surprising that the unity did not last long. Lech Kaczynski was a divisive figure and many Poles disliked his nationalism and combative relations with Germany and Russia.
Divisions arose within days when it was announced that Lech Kaczynski and his wife would be buried among Poland's kings at Krakow's Wawel Cathedral. Many Poles felt the location was inappropriate.
Over the course of the year the tragedy has been used instrumentally by politicians here.
Clearly devastated by the death of his twin, sister-in-law, and many close friends and colleagues, Jaroslaw Kaczynski, a more aggressive and nationalist politician than his brother, has made the crash, and the investigation into it, the central issue for his party.
The investigation was carried out by the Russians because the crash happened at Smolensk military airfield near Katyn.
In January, the Russian investigation released its final report and found that the immediate cause of the crash was the pilots' decision to attempt to land despite extremely poor visibility caused by dense fog at the airfield.
The report also concluded that the pilots were put under pressure to attempt the landing because they expected a negative reaction from Lech Kaczynski if they decided to fly to a reserve airport with better weather conditions. That would have considerably delayed the delegation on its way to the Katyn memorial service.
The Polish government accepted the report's main findings but criticised the Russians for failing to investigate its own role in the tragedy, namely the actions of the air traffic controllers at Smolensk.
It was notable however that both countries' foreign ministers stressed that it would not derail the hitherto successful attempts to normalise relations.
But the fact that the investigation was seen by many here as being neither comprehensive nor fair raised old suspicions about the Russians.
It has also added fuel to conspiracy theories - such as that the Russians artificially created the fog to bring the plane down.
The majority of people here do not believe in those conspiracies, but an opinion poll this week found that 78% of respondents reckon the circumstances of the crash have not been fully cleared up.
Poland has yet to complete its own investigation into the disaster.
Jaroslaw Kaczynski does not accept the findings of the investigation. He has accused the government of ""servility"" towards the Russians who, he says, ""bear direct responsibility for the crash"".
He has said that it was Moscow which took the decision to allow the plane to land in such poor weather not the air traffic controllers.
The media has also played an important role over the year. With 24-hour rolling news and so much air time to fill barely a day goes by without a mention of the crash and some new development.
A recent survey said 78% of Poles were bored and irritated of hearing about it all the time. A group of students started a campaign on the social networking site Facebook to have one full day without mentioning the disaster.
The poll also found that 87% believed the crash was being used as a political tool.
Most Poles want Sunday's anniversary to be an occasion that unites the nation rather than divides it.",Poland is marking the first anniversary of the plane crash which killed President Lech Kaczynski and 95 others with rival commemorations highlighting the bitter divisions which still surround the tragedy.,13025746,Claude 3 Haiku,anthropic.claude-3-haiku-20240307-v1:0,"Here is a summary of the key points:

- Jaroslaw Kaczynski, the twin brother of the late Polish President Lech Kaczynski, is boycotting the official memorial events for the 2010 plane crash that killed his brother and other top Polish officials.

- Kaczynski's supporters are planning to gather outside the presidential palace to remember the victims and express anger at the Russians and the Polish government's handling of the crash investigation.

- The crash initially united Poland in shock and mourning, with thousands coming to pay respects at the presidential palace even if they opposed Lech Kaczynski's policies.

- The crash was Poland's worst disaster since WWII, killing the president, his wife, military commanders, and other top officials who were traveling to a Katyn massacre memorial.

- Divisions soon emerged, with controversy over burying the president at the historic Wawel Cathedral.

- Jaroslaw Kaczynski, a more nationalist politician than his brother, has made the crash and investigation a central issue for his party, disputing the Russian-led investigation's findings.

- The investigation was seen by many Poles as incomplete, fueling conspiracy theories and distrust of Russia, though the Polish government accepted the main findings.

- There is public fatigue with the constant media coverage of the crash, with 78% saying it is being used as a political tool.

- Most Poles want the anniversary to be a unifying event rather than a divisive one.",960,332,1292,5,0.5,0.5,Question,Correct Answers,document,,
"Jaroslaw Kaczynski, the identical twin brother of the late president and leader of the country's main opposition party, Law and Justice, is boycotting the official memorial events.
His supporters are also planning to gather outside the presidential palace to remember the victims and vent their anger against the Russians and the government for their handling of the crash investigation.
For a brief time the tragedy united the country in shock, at first, and then mourning for the victims.
Thousands came from all over the country to place flowers and candles in front of the presidential palace. They did so even if they opposed Lech Kaczynski's policies.
It was the nation's worst disaster since World War Two. Apart from the president and his wife, Maria, the crash claimed the lives of the commanders of the armed forces, the heads of the National Bank and Olympic Committee, and politicians from all parties.
The location of the disaster was hugely symbolic too. The delegation was on its way to attend a 70th anniversary ceremony of the Katyn massacre, one of Poland's most painful wartime events in which more than 20,000 Polish officers, the country's elite, were murdered on Stalin's orders.
It is perhaps not surprising that the unity did not last long. Lech Kaczynski was a divisive figure and many Poles disliked his nationalism and combative relations with Germany and Russia.
Divisions arose within days when it was announced that Lech Kaczynski and his wife would be buried among Poland's kings at Krakow's Wawel Cathedral. Many Poles felt the location was inappropriate.
Over the course of the year the tragedy has been used instrumentally by politicians here.
Clearly devastated by the death of his twin, sister-in-law, and many close friends and colleagues, Jaroslaw Kaczynski, a more aggressive and nationalist politician than his brother, has made the crash, and the investigation into it, the central issue for his party.
The investigation was carried out by the Russians because the crash happened at Smolensk military airfield near Katyn.
In January, the Russian investigation released its final report and found that the immediate cause of the crash was the pilots' decision to attempt to land despite extremely poor visibility caused by dense fog at the airfield.
The report also concluded that the pilots were put under pressure to attempt the landing because they expected a negative reaction from Lech Kaczynski if they decided to fly to a reserve airport with better weather conditions. That would have considerably delayed the delegation on its way to the Katyn memorial service.
The Polish government accepted the report's main findings but criticised the Russians for failing to investigate its own role in the tragedy, namely the actions of the air traffic controllers at Smolensk.
It was notable however that both countries' foreign ministers stressed that it would not derail the hitherto successful attempts to normalise relations.
But the fact that the investigation was seen by many here as being neither comprehensive nor fair raised old suspicions about the Russians.
It has also added fuel to conspiracy theories - such as that the Russians artificially created the fog to bring the plane down.
The majority of people here do not believe in those conspiracies, but an opinion poll this week found that 78% of respondents reckon the circumstances of the crash have not been fully cleared up.
Poland has yet to complete its own investigation into the disaster.
Jaroslaw Kaczynski does not accept the findings of the investigation. He has accused the government of ""servility"" towards the Russians who, he says, ""bear direct responsibility for the crash"".
He has said that it was Moscow which took the decision to allow the plane to land in such poor weather not the air traffic controllers.
The media has also played an important role over the year. With 24-hour rolling news and so much air time to fill barely a day goes by without a mention of the crash and some new development.
A recent survey said 78% of Poles were bored and irritated of hearing about it all the time. A group of students started a campaign on the social networking site Facebook to have one full day without mentioning the disaster.
The poll also found that 87% believed the crash was being used as a political tool.
Most Poles want Sunday's anniversary to be an occasion that unites the nation rather than divides it.",Poland is marking the first anniversary of the plane crash which killed President Lech Kaczynski and 95 others with rival commemorations highlighting the bitter divisions which still surround the tragedy.,13025746,Claude 3.7 Sonnet,anthropic.claude-3-7-sonnet-20250219-v1:0,"# Summary of the Smolensk Air Crash Anniversary in Poland

One year after the plane crash that killed Polish President Lech Kaczynski and 95 others near Smolensk, Russia, Poland remains deeply divided. Jaroslaw Kaczynski, the late president's twin brother and opposition leader, is boycotting official memorial events and has rejected the Russian investigation's findings, which blamed pilot error and pressure to land in poor visibility. While the tragedy initially united Poland in mourning, it quickly became politicized. A recent poll shows 78% of Poles believe the crash circumstances remain unclear, though most don't support conspiracy theories. The majority of Poles (87%) feel the tragedy is being used as a political tool, with many growing tired of the constant media coverage. Despite efforts to improve Polish-Russian relations, the crash investigation has revived old suspicions between the nations.",960,195,1155,5,0.5,0.5,Question,Correct Answers,document,0.0,0.0
"Jaroslaw Kaczynski, the identical twin brother of the late president and leader of the country's main opposition party, Law and Justice, is boycotting the official memorial events.
His supporters are also planning to gather outside the presidential palace to remember the victims and vent their anger against the Russians and the government for their handling of the crash investigation.
For a brief time the tragedy united the country in shock, at first, and then mourning for the victims.
Thousands came from all over the country to place flowers and candles in front of the presidential palace. They did so even if they opposed Lech Kaczynski's policies.
It was the nation's worst disaster since World War Two. Apart from the president and his wife, Maria, the crash claimed the lives of the commanders of the armed forces, the heads of the National Bank and Olympic Committee, and politicians from all parties.
The location of the disaster was hugely symbolic too. The delegation was on its way to attend a 70th anniversary ceremony of the Katyn massacre, one of Poland's most painful wartime events in which more than 20,000 Polish officers, the country's elite, were murdered on Stalin's orders.
It is perhaps not surprising that the unity did not last long. Lech Kaczynski was a divisive figure and many Poles disliked his nationalism and combative relations with Germany and Russia.
Divisions arose within days when it was announced that Lech Kaczynski and his wife would be buried among Poland's kings at Krakow's Wawel Cathedral. Many Poles felt the location was inappropriate.
Over the course of the year the tragedy has been used instrumentally by politicians here.
Clearly devastated by the death of his twin, sister-in-law, and many close friends and colleagues, Jaroslaw Kaczynski, a more aggressive and nationalist politician than his brother, has made the crash, and the investigation into it, the central issue for his party.
The investigation was carried out by the Russians because the crash happened at Smolensk military airfield near Katyn.
In January, the Russian investigation released its final report and found that the immediate cause of the crash was the pilots' decision to attempt to land despite extremely poor visibility caused by dense fog at the airfield.
The report also concluded that the pilots were put under pressure to attempt the landing because they expected a negative reaction from Lech Kaczynski if they decided to fly to a reserve airport with better weather conditions. That would have considerably delayed the delegation on its way to the Katyn memorial service.
The Polish government accepted the report's main findings but criticised the Russians for failing to investigate its own role in the tragedy, namely the actions of the air traffic controllers at Smolensk.
It was notable however that both countries' foreign ministers stressed that it would not derail the hitherto successful attempts to normalise relations.
But the fact that the investigation was seen by many here as being neither comprehensive nor fair raised old suspicions about the Russians.
It has also added fuel to conspiracy theories - such as that the Russians artificially created the fog to bring the plane down.
The majority of people here do not believe in those conspiracies, but an opinion poll this week found that 78% of respondents reckon the circumstances of the crash have not been fully cleared up.
Poland has yet to complete its own investigation into the disaster.
Jaroslaw Kaczynski does not accept the findings of the investigation. He has accused the government of ""servility"" towards the Russians who, he says, ""bear direct responsibility for the crash"".
He has said that it was Moscow which took the decision to allow the plane to land in such poor weather not the air traffic controllers.
The media has also played an important role over the year. With 24-hour rolling news and so much air time to fill barely a day goes by without a mention of the crash and some new development.
A recent survey said 78% of Poles were bored and irritated of hearing about it all the time. A group of students started a campaign on the social networking site Facebook to have one full day without mentioning the disaster.
The poll also found that 87% believed the crash was being used as a political tool.
Most Poles want Sunday's anniversary to be an occasion that unites the nation rather than divides it.",Poland is marking the first anniversary of the plane crash which killed President Lech Kaczynski and 95 others with rival commemorations highlighting the bitter divisions which still surround the tragedy.,13025746,Claude 3 Sonnet,anthropic.claude-3-sonnet-20240229-v1:0,"Here is a summary of the key points:

- Jaroslaw Kaczynski, the late president's twin brother and leader of the opposition Law and Justice party, is boycotting the official memorial events for the Smolensk air crash anniversary. His supporters plan to hold their own gathering.

- The crash initially united Poland in shock and mourning, but divisions soon emerged over issues like the burial location of the president and his wife. 

- Jaroslaw Kaczynski has made the crash investigation a central issue, accusing the government of being subservient to Russia. He rejects the findings that blamed the pilots' decision to land in poor visibility.

- The Russian investigation concluded pilot error caused the crash, but Poland criticized Russia for not fully examining its own role. Both sides stressed it should not derail improved relations.

- Conspiracy theories persist for some in Poland about Russian involvement, though most do not believe them. 78% feel the circumstances remain unclear.

- The media's constant coverage has led to fatigue, with 78% bored by it and 87% believing it is being exploited politically. 

- Most Poles want the anniversary to be an occasion for national unity rather than further division.",960,266,1226,5,0.5,0.5,Question,Correct Answers,document,,
